Path,URL,Size in bytes (optional but recommended),MD5 Hash (optional but recommended),Filter Terms (optional),Overwrite (optional),Comments (optional)
docs/GAMEBOY/Game Boy Manuals/4-in-1 FunPak - Volume II.pdf,https://archive.org/download/mister-manuals/1989_Nintendo%20Game%20Boy.zip/1989_Nintendo%20Game%20Boy%2F4-in-1%20FunPak%20-%20Volume%20II.pdf,3942084,6d655dd8a897e3f89109665fc321fd80,,,4-in-1 FunPak - Volume II.pdf
docs/GAMEBOY/Game Boy Manuals/4-in-1 FunPak.pdf,https://archive.org/download/mister-manuals/1989_Nintendo%20Game%20Boy.zip/1989_Nintendo%20Game%20Boy%2F4-in-1%20FunPak.pdf,3906292,5a935145bf2ea5dd9d3ed202591ad917,,,4-in-1 FunPak.pdf
"docs/GAMEBOY/Game Boy Manuals/Addams Family, The.pdf",https://archive.org/download/mister-manuals/1989_Nintendo%20Game%20Boy.zip/1989_Nintendo%20Game%20Boy%2FAddams%20Family%2C%20The.pdf,2202513,fa5847c0e99fa08f7844804b95424017,,,"Addams Family, The.pdf"
docs/GAMEBOY/Game Boy Manuals/Adventure Island II.pdf,https://archive.org/download/mister-manuals/1989_Nintendo%20Game%20Boy.zip/1989_Nintendo%20Game%20Boy%2FAdventure%20Island%20II.pdf,3447189,0b86dfe25431300d900248255f00a05f,,,Adventure Island II.pdf
docs/GAMEBOY/Game Boy Manuals/Adventure Island.pdf,https://archive.org/download/mister-manuals/1989_Nintendo%20Game%20Boy.zip/1989_Nintendo%20Game%20Boy%2FAdventure%20Island.pdf,2388463,325cacc56fbbbcd8ef74138b594aef5e,,,Adventure Island.pdf
docs/GAMEBOY/Game Boy Manuals/Adventures of Lolo.pdf,https://archive.org/download/mister-manuals/1989_Nintendo%20Game%20Boy.zip/1989_Nintendo%20Game%20Boy%2FAdventures%20of%20Lolo.pdf,4916783,4b9515337b1b65ddcc8233ea4e5b5ec2,,,Adventures of Lolo.pdf
"docs/GAMEBOY/Game Boy Manuals/Adventures of Rocky and Bullwinkle and Friends, The.pdf",https://archive.org/download/mister-manuals/1989_Nintendo%20Game%20Boy.zip/1989_Nintendo%20Game%20Boy%2FAdventures%20of%20Rocky%20and%20Bullwinkle%20and%20Friends%2C%20The.pdf,2620642,cd89eee3f984b924976a3e6fccc6b9a3,,,"Adventures of Rocky and Bullwinkle and Friends, The.pdf"
"docs/GAMEBOY/Game Boy Manuals/Adventures of Star Saver, The.pdf",https://archive.org/download/mister-manuals/1989_Nintendo%20Game%20Boy.zip/1989_Nintendo%20Game%20Boy%2FAdventures%20of%20Star%20Saver%2C%20The.pdf,1842647,27be070c66d6127916c4226a2251311f,,,"Adventures of Star Saver, The.pdf"
docs/GAMEBOY/Game Boy Manuals/AeroStar.pdf,https://archive.org/download/mister-manuals/1989_Nintendo%20Game%20Boy.zip/1989_Nintendo%20Game%20Boy%2FAeroStar.pdf,2081817,4b5647a171bd3931bc559d98fa7f70ad,,,AeroStar.pdf
docs/GAMEBOY/Game Boy Manuals/Aladdin.pdf,https://archive.org/download/mister-manuals/1989_Nintendo%20Game%20Boy.zip/1989_Nintendo%20Game%20Boy%2FAladdin.pdf,3727098,1d6341509a931a709e6fb6a2ca877583,,,Aladdin.pdf
docs/GAMEBOY/Game Boy Manuals/Alfred Chicken.pdf,https://archive.org/download/mister-manuals/1989_Nintendo%20Game%20Boy.zip/1989_Nintendo%20Game%20Boy%2FAlfred%20Chicken.pdf,1435375,dd3ac7bc3db4fd18fc81192333dfd1ed,,,Alfred Chicken.pdf
docs/GAMEBOY/Game Boy Manuals/Alien 3.pdf,https://archive.org/download/mister-manuals/1989_Nintendo%20Game%20Boy.zip/1989_Nintendo%20Game%20Boy%2FAlien%203.pdf,3890738,99f4d786c8780a30a69b8ab834000f8e,,,Alien 3.pdf
docs/GAMEBOY/Game Boy Manuals/Alien vs. Predator - The Last of His Clan.pdf,https://archive.org/download/mister-manuals/1989_Nintendo%20Game%20Boy.zip/1989_Nintendo%20Game%20Boy%2FAlien%20vs.%20Predator%20-%20The%20Last%20of%20His%20Clan.pdf,1989823,bc695169a10581eaf731628cc28714f9,,,Alien vs. Predator - The Last of His Clan.pdf
docs/GAMEBOY/Game Boy Manuals/All-Star Baseball _99.pdf,https://archive.org/download/mister-manuals/1989_Nintendo%20Game%20Boy.zip/1989_Nintendo%20Game%20Boy%2FAll-Star%20Baseball%20_99.pdf,3881145,21a338d53e213255bb901dc77ab972e2,,,All-Star Baseball _99.pdf
docs/GAMEBOY/Game Boy Manuals/Alleyway.pdf,https://archive.org/download/mister-manuals/1989_Nintendo%20Game%20Boy.zip/1989_Nintendo%20Game%20Boy%2FAlleyway.pdf,2177580,11c3aff746ca47c0ae24ae7d590cbd21,,,Alleyway.pdf
docs/GAMEBOY/Game Boy Manuals/Altered Space - A 3-D Alien Adventure.pdf,https://archive.org/download/mister-manuals/1989_Nintendo%20Game%20Boy.zip/1989_Nintendo%20Game%20Boy%2FAltered%20Space%20-%20A%203-D%20Alien%20Adventure.pdf,3001284,de2fe697736abe990fa145228d1f3d45,,,Altered Space - A 3-D Alien Adventure.pdf
docs/GAMEBOY/Game Boy Manuals/Amazing Penguin.pdf,https://archive.org/download/mister-manuals/1989_Nintendo%20Game%20Boy.zip/1989_Nintendo%20Game%20Boy%2FAmazing%20Penguin.pdf,1535234,7313f46093a4ba1640aa7a67a61d3f0a,,,Amazing Penguin.pdf
"docs/GAMEBOY/Game Boy Manuals/Amazing Spider-Man, The.pdf",https://archive.org/download/mister-manuals/1989_Nintendo%20Game%20Boy.zip/1989_Nintendo%20Game%20Boy%2FAmazing%20Spider-Man%2C%20The.pdf,2930615,4ff8fb3452817127bd96792c0aebe3d2,,,"Amazing Spider-Man, The.pdf"
"docs/GAMEBOY/Game Boy Manuals/Amazing Spider-Man_2, The.pdf",https://archive.org/download/mister-manuals/1989_Nintendo%20Game%20Boy.zip/1989_Nintendo%20Game%20Boy%2FAmazing%20Spider-Man_2%2C%20The.pdf,734677,050139ec6e07aad0096c2ff548633062,,,"Amazing Spider-Man_2, The.pdf"
docs/GAMEBOY/Game Boy Manuals/Amazing Tater.pdf,https://archive.org/download/mister-manuals/1989_Nintendo%20Game%20Boy.zip/1989_Nintendo%20Game%20Boy%2FAmazing%20Tater.pdf,2406073,e79d6b1827273435af1d1f8475bac3ec,,,Amazing Tater.pdf
docs/GAMEBOY/Game Boy Manuals/Animaniacs.pdf,https://archive.org/download/mister-manuals/1989_Nintendo%20Game%20Boy.zip/1989_Nintendo%20Game%20Boy%2FAnimaniacs.pdf,3514292,950596b048c85809b243e158e181cbe6,,,Animaniacs.pdf
docs/GAMEBOY/Game Boy Manuals/Arcade Classic No. 1 - Asteroids & Missile Command.pdf,https://archive.org/download/mister-manuals/1989_Nintendo%20Game%20Boy.zip/1989_Nintendo%20Game%20Boy%2FArcade%20Classic%20No.%201%20-%20Asteroids%20%26%20Missile%20Command.pdf,3155935,a735e04538a20c3d04909270924f45b5,,,Arcade Classic No. 1 - Asteroids & Missile Command.pdf
docs/GAMEBOY/Game Boy Manuals/Arcade Classic No. 2 - Centipede & Millipede.pdf,https://archive.org/download/mister-manuals/1989_Nintendo%20Game%20Boy.zip/1989_Nintendo%20Game%20Boy%2FArcade%20Classic%20No.%202%20-%20Centipede%20%26%20Millipede.pdf,4152091,0b22e491321adc1ea7da42cc343f0a22,,,Arcade Classic No. 2 - Centipede & Millipede.pdf
docs/GAMEBOY/Game Boy Manuals/Arcade Classic No. 3 - Galaga & Galaxian.pdf,https://archive.org/download/mister-manuals/1989_Nintendo%20Game%20Boy.zip/1989_Nintendo%20Game%20Boy%2FArcade%20Classic%20No.%203%20-%20Galaga%20%26%20Galaxian.pdf,4064010,158941e942c352aaad767ab7380007e9,,,Arcade Classic No. 3 - Galaga & Galaxian.pdf
docs/GAMEBOY/Game Boy Manuals/Arcade Classic No. 4 - Defender & Joust.pdf,https://archive.org/download/mister-manuals/1989_Nintendo%20Game%20Boy.zip/1989_Nintendo%20Game%20Boy%2FArcade%20Classic%20No.%204%20-%20Defender%20%26%20Joust.pdf,4656751,3b39e36c0ab84f822190f2fa1d565620,,,Arcade Classic No. 4 - Defender & Joust.pdf
docs/GAMEBOY/Game Boy Manuals/Arcade Classics - Super Breakout & Battlezone.pdf,https://archive.org/download/mister-manuals/1989_Nintendo%20Game%20Boy.zip/1989_Nintendo%20Game%20Boy%2FArcade%20Classics%20-%20Super%20Breakout%20%26%20Battlezone.pdf,3192340,3666d2188783ef6dca577cb7fde964a7,,,Arcade Classics - Super Breakout & Battlezone.pdf
docs/GAMEBOY/Game Boy Manuals/Asterix.pdf,https://archive.org/download/mister-manuals/1989_Nintendo%20Game%20Boy.zip/1989_Nintendo%20Game%20Boy%2FAsterix.pdf,1042561,c09246b1a912369259a08471b8a75d85,,,Asterix.pdf
docs/GAMEBOY/Game Boy Manuals/Asteroids.pdf,https://archive.org/download/mister-manuals/1989_Nintendo%20Game%20Boy.zip/1989_Nintendo%20Game%20Boy%2FAsteroids.pdf,513884,5cf2299738d1cc72c36ffa231bb39e06,,,Asteroids.pdf
docs/GAMEBOY/Game Boy Manuals/Atomic Punk.pdf,https://archive.org/download/mister-manuals/1989_Nintendo%20Game%20Boy.zip/1989_Nintendo%20Game%20Boy%2FAtomic%20Punk.pdf,2090923,3531cb404d9d3c4e9edd332c8f6bd747,,,Atomic Punk.pdf
docs/GAMEBOY/Game Boy Manuals/Attack of the Killer Tomatoes.pdf,https://archive.org/download/mister-manuals/1989_Nintendo%20Game%20Boy.zip/1989_Nintendo%20Game%20Boy%2FAttack%20of%20the%20Killer%20Tomatoes.pdf,1772913,498cba1090c42d2ace71fb3fa3547064,,,Attack of the Killer Tomatoes.pdf
docs/GAMEBOY/Game Boy Manuals/Avenging Spirit.pdf,https://archive.org/download/mister-manuals/1989_Nintendo%20Game%20Boy.zip/1989_Nintendo%20Game%20Boy%2FAvenging%20Spirit.pdf,4475229,dd58942bef868052e5e068584ed784f0,,,Avenging Spirit.pdf
docs/GAMEBOY/Game Boy Manuals/Balloon Kid.pdf,https://archive.org/download/mister-manuals/1989_Nintendo%20Game%20Boy.zip/1989_Nintendo%20Game%20Boy%2FBalloon%20Kid.pdf,2435391,35c06d19a1f31bda6d58d370f2ef9e25,,,Balloon Kid.pdf
